purpose	level	name	size	start	end
focus	pango_lineage	B.1.1.7	10		2020-08-30
focus	pango_lineage	B.1.351	10		2020-08-30
focus	pango_lineage	B.1.375	10		2020-08-30
focus	pango_lineage	B.1.1.28	10		2020-08-30
context	region_exposure	North America	20		2020-08-30
context	region_exposure	Europe	20		2020-08-30
context	region_exposure	Asia	10		2020-08-30
ignore	country_exposure	India			
ignore	country_exposure	Bangladesh			
ignore	country_exposure	Saudi Arabia			
focus	country_exposure	Antigua and Barbuda	9999		2020-08-30
focus	country_exposure	Bahamas	9999		2020-08-30
focus	country_exposure	Barbados	9999		2020-08-30
focus	country_exposure	Belize	100		2020-08-30
focus	country_exposure	Bermuda	9999		2020-08-30
focus	country_exposure	British Virgin Islands	9999		2020-08-30
focus	country_exposure	Cayman Islands	9999		2020-08-30
focus	country_exposure	Costa Rica	10		2020-08-30
focus	country_exposure	Colombia	20		2020-08-30
focus	country_exposure	Cuba	9999		2020-08-30
focus	country_exposure	Dominican Republic	9999		2020-08-30
focus	country_exposure	Dominica	9999		2020-08-30
focus	country_exposure	El Salvador	20		2020-08-30
focus	country_exposure	French Guiana	100		2020-08-30
focus	country_exposure	Guadelupe	9999		2020-08-30
focus	country_exposure	Guyana	100		2020-08-30
focus	country_exposure	Guatemala	10		2020-08-30
focus	country_exposure	Haiti	9999		2020-08-30
focus	country_exposure	Honduras	10		2020-08-30
focus	country_exposure	Jamaica	9999		2020-08-30
focus	country_exposure	Martinique	9999		2020-08-30
focus	country_exposure	Mexico	20		2020-08-30
focus	country_exposure	Panama	10		2020-08-30
focus	country_exposure	Saint Barthelemy	9999		2020-08-30
focus	country_exposure	Saint Kitts and Nevis	9999		2020-08-30
focus	country_exposure	Saint Lucia	9999		2020-08-30
focus	country_exposure	Saint Martin	9999		2020-08-30
focus	country_exposure	Saint Vincent and the Grenadines	9999		2020-08-30
focus	country_exposure	Sint Eustatius	9999		2020-08-30
focus	country_exposure	Suriname	100		2020-08-30
focus	country_exposure	Sint Maarten	9999		2020-08-30
focus	country_exposure	Venezuela	20		2020-08-30
focus	country_exposure	Trinidad and Tobago	9999		2020-08-30
context	region_exposure	South America	20		2020-08-30
